                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5312,                 2.6177,                 1.2397,                0.56715,                0.79495,                0.75845,                0.53816,                 1.0176,                  1.518,                 1.0514,             0.00019084,             0.00019084,             0.00019084
                      2,                 1.2155,                 1.0479,                 1.0853,                0.93501,                0.83037,                0.94084,                0.68952,                0.99338,                0.84592,                 1.0225,             0.00038301,             0.00038301,             0.00038301
                      3,                 1.1645,                0.86548,                 1.0674,                0.93466,                0.96012,                0.97518,                0.71837,                0.98644,                0.72231,                 1.0096,              0.0005713,              0.0005713,              0.0005713
                      4,                 1.1139,                0.75966,                 1.0566,                0.96812,                0.96425,                0.97357,                0.67904,                 1.1219,                0.67019,                  1.072,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1373,                0.70794,                 1.0737,                0.97145,                0.98012,                0.98679,                0.72897,                 1.0052,                0.59571,                 1.0132,             0.00056472,             0.00056472,             0.00056472
                      6,                 1.0742,                0.65803,                 1.0429,                0.97438,                0.97941,                0.98728,                  0.759,                 0.8864,                0.52756,                0.99702,             0.00055889,             0.00055889,             0.00055889
                      7,                 1.0397,                0.61881,                 1.0203,                0.96809,                0.98163,                0.98568,                0.75647,                0.90624,                0.50727,                0.99161,             0.00055307,             0.00055307,             0.00055307
                      8,                 1.0156,                0.59422,                  1.011,                 0.9686,                0.98458,                0.98776,                0.70501,                 1.0463,                  0.515,                 1.0039,             0.00054725,             0.00054725,             0.00054725
                      9,                 1.0032,                0.57817,                 1.0217,                0.96911,                0.98164,                0.98085,                0.77287,                0.83725,                0.46549,                0.96145,             0.00054143,             0.00054143,             0.00054143
                     10,                0.98687,                0.56824,                 1.0158,                 0.9752,                0.99301,                0.98899,                0.77175,                0.89507,                0.46041,                0.98138,             0.00053561,             0.00053561,             0.00053561
                     11,                  0.982,                0.54899,                 1.0051,                0.97882,                 0.9827,                0.98893,                0.77338,                0.88834,                0.46862,                0.96929,             0.00052979,             0.00052979,             0.00052979
                     12,                 1.0077,                0.55228,                 1.0078,                0.97343,                0.98429,                0.98823,                0.75886,                0.88435,                0.44192,                0.96962,             0.00052397,             0.00052397,             0.00052397
                     13,                0.94484,                0.51174,                0.99428,                0.96573,                0.98993,                0.98711,                0.75601,                0.88983,                0.43636,                0.99185,             0.00051815,             0.00051815,             0.00051815
                     14,                0.95054,                0.51027,                0.99408,                0.98469,                0.99153,                0.99058,                0.77368,                0.85689,                0.41828,                0.95726,             0.00051232,             0.00051232,             0.00051232
                     15,                0.91866,                0.50131,                0.97937,                 0.9741,                0.99189,                0.98896,                0.76254,                0.88678,                0.42531,                0.97025,              0.0005065,              0.0005065,              0.0005065
                     16,                0.91324,                0.49192,                0.98199,                0.98171,                0.99227,                0.98992,                0.76274,                0.89915,                0.41445,                0.96949,             0.00050068,             0.00050068,             0.00050068
                     17,                0.91847,                 0.4999,                 0.9851,                0.97055,                0.99083,                0.98856,                0.76121,                0.91712,                0.41971,                 1.0039,             0.00049486,             0.00049486,             0.00049486
                     18,                0.91772,                0.48842,                0.98515,                0.97398,                0.98546,                0.98663,                0.77797,                0.88257,                0.41335,                0.96294,             0.00048904,             0.00048904,             0.00048904
